HFBJIN_00005	JDIFCN_08180	45.8	443	224	4	4	430	2	444	3.48e-127	373
HFBJIN_00010	LMJHIN_04880	46.2	364	195	1	1	364	1	363	1.40e-117	342
HFBJIN_00010	IMLPOL_04765	34.2	363	236	3	5	364	5	367	6.67e-75	233
HFBJIN_00010	EEOPDA_06730	34.1	367	236	5	1	362	1	366	2.80e-74	231
HFBJIN_00020	IBIBLP_21290	43.6	369	193	5	1	363	54	413	5.38e-103	306
HFBJIN_00030	IDJOEI_11860	55.6	734	219	6	8	635	15	747	1.98e-274	766
HFBJIN_00030	NLLOJM_03475	33.6	658	399	11	8	633	7	658	4.19e-113	350
HFBJIN_00035	GJDIKO_00030	61.8	806	305	2	1	803	1	806	0.0	899
HFBJIN_00035	CIIHGC_05655	41.6	695	363	10	7	671	4	685	1.70e-160	486
HFBJIN_00035	EHJFJN_05890	32.8	685	422	16	13	685	5	663	5.13e-102	328
HFBJIN_00070	FNINNI_00085	64.0	172	60	1	1	170	1	172	1.11e-75	220
HFBJIN_00075	HNGOGK_09900	28.8	476	314	9	3	456	2	474	4.03e-61	203
HFBJIN_00110	NPLHCN_07855	28.8	1199	782	14	1	1146	16	1195	3.20e-179	555
HFBJIN_00115	NKCJOK_09390	46.9	1325	610	21	1	1244	1	1312	0.0	1103
HFBJIN_00115	CHFKLB_13610	39.3	1265	703	21	1	1242	1	1223	1.34e-268	791
HFBJIN_00130	ALJKBN_18190	40.8	260	146	4	47	300	342	599	1.84e-57	191
HFBJIN_00140	IHMAMP_18595	62.0	295	111	1	1	294	1	295	2.81e-136	384
HFBJIN_00155	LJALIN_17780	68.0	525	165	3	1	524	50	572	1.05e-267	738
HFBJIN_00155	OBHJLJ_05995	28.3	541	369	5	1	525	4	541	3.90e-80	260
HFBJIN_00155	IMJCGK_11625	31.7	518	327	10	1	504	3	507	1.50e-72	236
HFBJIN_00155	EHHHNJ_03925	28.6	539	321	12	1	525	3	491	1.11e-56	196
HFBJIN_00165	GBDDDA_04680	50.2	217	104	3	1	215	1	215	3.41e-66	199
HFBJIN_00165	DHFKBB_07845	40.3	211	122	3	6	215	9	216	3.40e-48	154
HFBJIN_00170	INKIHH_11820	49.2	252	124	1	12	263	11	258	2.99e-82	244
HFBJIN_00175	JFOKOO_10945	50.1	397	193	4	20	414	17	410	3.27e-132	382
HFBJIN_00190	NDJCGB_23505	47.0	389	163	5	1	346	19	407	2.77e-114	335
HFBJIN_00195	CPMPBM_01325	54.3	1080	463	5	1	1056	1	1073	0.0	1113
HFBJIN_00210	LOEBFA_04170	47.7	241	126	0	1	241	1	241	1.85e-79	236
HFBJIN_00215	CFGLOL_04020	68.6	172	54	0	1	172	50	221	4.61e-86	248
HFBJIN_00225	MNAECF_18475	41.4	237	124	3	1	222	1	237	3.54e-57	177
HFBJIN_00230	ICHLBC_08475	42.5	414	228	7	619	1027	4	412	3.77e-90	303
HFBJIN_00230	NIIHOH_00330	30.1	652	333	10	29	563	26	671	1.49e-85	287
HFBJIN_00235	ANGKFO_01360	40.6	315	166	4	7	320	3	297	3.82e-79	239
HFBJIN_00245	CFMBFO_15475	43.5	336	155	3	5	305	8	343	1.75e-98	290
HFBJIN_00270	AEOEGG_04380	55.2	1044	456	7	1	1034	58	1099	0.0	1213
